,0,1,2,3,4,5,6,7,8,9,10
0,Gatifloxacin (Gfx),"Kyorin Pharmaceutical Co., Ltd.",6647.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Isoniazid (H or INH),F. Hoffmann-La Roche Ltd,8470126.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Streptomycin (S or STR),Merck,198422.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Efavirenz (EFV),Merck,0.0,0.0,444912.29,0.0,0.0,0.0,0.0,0.0,0.0
4,Ivermectin (IVM),Merck,0.0,0.0,0.0,34644.98,0.0,2086.22,0.0,2790.64,2238.64
5,Pyrazinamide (Z or PZA),Merck,8652867.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Moxifloxacin (Mfx),Bayer Healthcare,6647.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Praziquantel (PZQ),Bayer Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,114408.21,0.0,0.0
8,Chloroquine (CQ),Bayer Healthcare,0.0,13781.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,RIfampicin (R or RMP),Sanofi,8470126.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Artesunate/Amodiaquine (AS + AQ),Sanofi,0.0,9265515.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Sanofi,0.0,65301.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Chloroquine + Primaquine (CQ + PQ),Sanofi,0.0,368865.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Sanofi,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Sanofi,0.0,1944.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Sanofi,0.0,461346.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
