"","2010","","","","","","","","","","","","2013","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","NTDs","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Sum","103,250,127.98","134,422,768.33","85,818,380.20","1,094,508.31","474,664.35","109,507.00","2,579,472.93","N/A - No model","1,732,635.42","5,990,788.00","329,482,064.52","Sum","93,022,308.52","85,631,012.77","76,401,951.92","1,557,624.66","454,057.90","102,773.72","2,125,167.40","1,042,281.34","1,363,235.75","260,337,178.23"
"Afghanistan","971,911.13","246,339.27","24,069.09","12,940.67","227.23","213.53","0.00","","0.00","13,381.43","1,255,700.92","Afghanistan","866,912.89","115,789.88","6,965.01","14,353.46","248.93","227.35","0.00","0.00","0.00","1,004,497.52"
"Albania","5,227.81","3.62","2,038.61","1.56","0.00","0.00","0.00","","0.00","1.56","7,271.59","Albania","1,827.78","0.00","85.12","1.06","0.00","0.00","0.00","0.00","0.00","1,913.96"
"Algeria","202,547.44","12.60","51,642.56","157.11","0.38","1.57","5,615.93","","0.00","5,775.00","259,977.61","Algeria","116,411.39","886.35","4,316.84","143.26","0.40","1.50","5,580.51","0.00","0.00","127,340.25"
"American Samoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","121.68","121.68","121.68","American Samoa","0.00","0.00","109.78","0.00","0.00","0.00","0.00","0.00","133.03","109.78"
"Andorra","60.40","0.06","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","60.46","Andorra","0.00","0.00","62.38","0.00","0.00","0.00","0.00","0.00","0.00","62.38"
"Angola","524,757.47","5,911.28","711,773.20","13,881.11","5,387.66","672.17","28,952.22","","21,679.42","70,572.58","1,313,014.53","Angola","717,505.59","1,172,629.05","686,295.76","9,094.41","5,814.55","741.12","28,157.13","6,996.83","24,183.44","2,627,234.44"
"Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Antigua and Barbuda","62.99","0.07","410.00","0.05","0.00","0.00","19.50","","0.00","19.55","492.61","Antigua and Barbuda","179.56","0.00","485.45","0.05","0.00","0.00","20.37","0.00","0.00","685.42"
"Argentina","66,142.56","38.77","91,482.58","203.11","733.32","1.44","0.00","","0.00","937.87","158,601.78","Argentina","50,967.12","100.00","88,936.50","192.65","734.88","1.42","0.00","0.00","0.00","140,932.57"
"Armenia","14,640.33","1.00","6,795.21","1.22","0.08","0.00","0.00","","0.00","1.30","21,437.83","Armenia","11,279.43","0.00","1,371.42","1.01","0.07","0.00","0.00","0.00","0.00","12,651.93"
"Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","5,317.79","80.38","8,231.23","0.00","0.00","0.00","0.00","","0.00","0.00","13,629.40","Australia","4,229.07","0.00","5,557.28","0.00","0.00","0.00","0.00","0.00","0.00","9,786.35"
"Austria","4,021.01","2.24","3,846.19","0.00","0.00","0.00","0.00","","0.00","0.00","7,869.43","Austria","2,926.71","0.00","3,808.71","0.00","0.00","0.00","0.00","0.00","0.00","6,735.43"
"Azerbaijan","74,602.31","12.26","8,138.17","29.04","0.09","0.00","0.00","","0.00","29.13","82,781.86","Azerbaijan","67,689.57","0.00","2,584.30","20.40","0.09","0.00","0.00","0.00","0.00","70,294.36"
