,0,1,2,3,4,5,6,7,8,9
0, Afghanistan,590387.04,547249.13,43110.27,27.64,0.0,0.0,0.0,0.0,0.0
1,Albania,3020.4300000000003,3016.88,0.0,3.55,0.0,0.0,0.0,0.0,0.0
2,Algeria,105548.40000000001,102529.44,3.6,3015.36,0.0,0.0,0.0,0.0,0.0
3,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Andorra,31.82,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Angola,291981.69999999995,242203.47,1703.58,47470.11,0.0,0.0,0.0,604.54,0.0
6,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Antigua and Barbuda,39.57,27.85,0.0,11.72,0.0,0.0,0.0,0.0,0.0
8,Argentina,32142.09,31009.56,0.98,1131.55,0.0,0.0,0.0,0.0,0.0
9,Armenia,8231.06,7978.51,0.0,252.55,0.0,0.0,0.0,0.0,0.0
10,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Australia,3112.4900000000002,3037.19,0.0,75.3,0.0,0.0,0.0,0.0,0.0
12,Austria,2217.32,2214.69,0.0,2.63,0.0,0.0,0.0,0.0,0.0
13,Azerbaijan,38767.75,38358.41,0.1,409.24,0.0,0.0,0.0,0.0,0.0
14,Bahamas,238.82,238.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Bahrain,1264.66,1232.2,0.0,32.46,0.0,0.0,0.0,0.0,0.0
16,Bangladesh,1202210.25,1184173.15,9528.95,488.9,5673.12,1441.49,252.3,0.0,652.34
17,Barbados,99.78,77.71,0.0,22.07,0.0,0.0,0.0,0.0,0.0
18,Belarus,25339.21,24361.86,0.0,977.35,0.0,0.0,0.0,0.0,0.0
19,Belgium,3702.82,3676.51,0.0,26.31,0.0,0.0,0.0,0.0,0.0
20,Belize,866.83,563.23,2.74,300.86,0.0,0.0,0.0,0.0,0.0
21,Benin,1222614.0499999998,99056.84,1118501.44,4298.96,0.0,0.0,0.0,748.42,8.39
22,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Bhutan,5946.47,5896.39,32.53,17.55,0.0,0.0,0.0,0.0,0.0
24,Bolivia,74030.9,71508.65,43.32,2478.93,0.0,0.0,0.0,0.0,0.0
25,"Bonaire, Saint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bosnia and Herzegovina,7528.72,7527.45,0.0,1.27,0.0,0.0,0.0,0.0,0.0
27,Botswana,33737.00000000001,19250.08,5123.15,9275.47,0.0,0.0,0.0,88.3,0.0
28,Brazil,359349.12999999995,328135.35,349.19,26450.73,0.0,0.0,0.0,4413.86,0.0
29,British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Brunei Darussalam,680.98,679.21,0.0,1.76,0.0,0.0,0.0,0.0,0.01
31,Bulgaria,11261.7,11261.04,0.0,0.66,0.0,0.0,0.0,0.0,0.0
32,Burkina Faso,1878590.03,194715.05,1669407.38,3364.78,0.0,0.0,0.0,11029.25,73.57
33,Burundi,657079.1900000001,462446.96,181133.06,12642.37,0.0,0.0,0.0,856.8,0.0
34,Cambodia,251370.22999999998,223426.2,317.55,4236.43,0.0,0.0,0.0,23390.05,0.0
35,Cameroon,2385911.8499999996,168809.28,1743596.25,159662.52,310739.86,945.03,611.69,1469.76,77.46
36,Canada,5601.889999999999,5393.11,0.0,208.78,0.0,0.0,0.0,0.0,0.0
37,Cape Verde,3132.58,1605.95,1524.68,1.95,0.0,0.0,0.0,0.0,0.0
38,Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Central African Republic,441776.37999999995,175565.99,245153.8,21022.73,0.0,0.0,0.0,19.72,14.14
40,Chad,855168.35,193031.46,624545.35,36421.26,0.0,0.0,0.0,1154.28,16.0
41,Chile,19172.96,18272.37,0.05,900.54,0.0,0.0,0.0,0.0,0.0
42,China,1994060.88,1937569.36,580.13,55911.39,0.0,0.0,0.0,0.0,0.0
43,"China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"China, Macao SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Colombia,67742.04000000001,61823.01,87.75,2336.21,2709.82,509.18,276.07,0.0,0.0
46,Comoros,28145.63,11373.78,16596.03,0.15,116.21,42.9,13.82,0.0,2.74
47,Republic of the Congo,227551.43,60155.35,142676.35,23694.06,204.01,94.04,109.77,595.61,22.24
48,Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Costa Rica,3359.9,3267.56,0.06,92.28,0.0,0.0,0.0,0.0,0.0
50,Cote d'Ivoire,1538240.62,265616.68,1068511.62,196637.84,0.0,0.0,0.0,7423.72,50.76
51,Croatia,3641.6499999999996,3624.99,0.0,16.66,0.0,0.0,0.0,0.0,0.0
52,Cuba,5148.04,4362.32,0.0,785.72,0.0,0.0,0.0,0.0,0.0
53,Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Cyprus,124.46,123.5,0.0,0.96,0.0,0.0,0.0,0.0,0.0
55,Czech Republic,3803.9100000000003,3803.76,0.0,0.15,0.0,0.0,0.0,0.0,0.0
56,Democratic People's Republic of Korea,193582.87,193581.34,1.53,0.0,0.0,0.0,0.0,0.0,0.0
57,Democratic Republic of the Congo,6385680.01,1975731.07,4330033.35,68828.08,142.97,91.15,22.02,10823.41,7.96
58,Denmark,1434.17,1421.14,0.0,13.03,0.0,0.0,0.0,0.0,0.0
59,Djibouti,12377.37,11987.35,106.86,283.16,0.0,0.0,0.0,0.0,0.0
60,Dominica,101.38,76.5,0.0,24.88,0.0,0.0,0.0,0.0,0.0
61,Dominican Republic,29733.610000000004,23055.27,8.99,6669.33,0.0,0.0,0.0,0.0,0.02
62,Ecuador,44405.62,42948.48,39.3,1417.84,0.0,0.0,0.0,0.0,0.0
63,Egypt,143835.1,92565.72,3.85,98.45,0.0,0.0,0.0,51167.05,0.03
64,El Salvador,7571.63,5961.1,0.0,1610.53,0.0,0.0,0.0,0.0,0.0
65,Equatorial Guinea,36303.14000000001,6372.01,26990.04,2726.94,155.71,17.53,27.89,10.8,2.22
66,Eritrea,121630.36,117762.07,2962.53,863.69,0.0,0.0,0.0,42.06,0.01
67,Estonia,1897.6799999999998,1896.07,0.0,1.61,0.0,0.0,0.0,0.0,0.0
68,Ethiopia,2565765.07,2152985.59,298621.79,111618.62,0.0,0.0,0.0,2539.07,0.0
69,Fiji,2284.0499999999997,2092.45,0.0,116.53,32.57,33.74,0.22,0.0,8.54
70,Finland,1326.83,1326.82,0.0,0.01,0.0,0.0,0.0,0.0,0.0
71,France,26691.370000000003,26668.22,0.0,23.15,0.0,0.0,0.0,0.0,0.0
72,French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Gabon,45972.73,12817.37,31017.43,1281.89,620.21,40.26,76.13,118.9,0.54
74,Gambia,51828.33,16549.64,32537.41,2353.53,0.0,0.0,0.0,385.81,1.94
75,Georgia,16722.22,16070.6,0.0,651.62,0.0,0.0,0.0,0.0,0.0
76,Germany,18464.78,18393.02,0.0,71.76,0.0,0.0,0.0,0.0,0.0
77,Ghana,1163639.2,155308.85,935750.57,70504.95,0.0,0.0,0.0,1948.0,126.83
78,Greece,3176.2,3175.93,0.0,0.27,0.0,0.0,0.0,0.0,0.0
79,Greenland,65.59,65.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Grenada,246.15000000000003,91.54,0.0,154.61,0.0,0.0,0.0,0.0,0.0
81,Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Guatemala,52744.89,47887.95,73.46,4783.48,0.0,0.0,0.0,0.0,0.0
83,Guinea,788729.4099999999,162784.97,606071.68,17885.21,0.0,0.0,0.0,1976.98,10.57
84,Guinea-Bissau,296563.23000000004,25989.34,265215.2,5129.35,0.0,0.0,0.0,220.94,8.4
85,Guyana,5316.68,3364.73,25.3,1924.9,0.0,0.0,0.0,0.0,1.75
86,Haiti,215517.71,208799.08,539.33,6032.79,0.0,0.0,0.0,0.0,146.51
87,Honduras,21245.36,18078.71,27.82,3138.83,0.0,0.0,0.0,0.0,0.0
88,Hungary,6554.41,6486.07,0.0,68.34,0.0,0.0,0.0,0.0,0.0
89,Iceland,61.150000000000006,61.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0
90,India,17084838.049999997,16795994.68,218837.06,68506.82,0.0,0.0,0.0,0.0,1499.49
91,Indonesia,6179717.55,6114537.01,27853.6,37326.94,0.0,0.0,0.0,0.0,0.0
92,Iran,61943.66,60836.02,55.91,1051.73,0.0,0.0,0.0,0.0,0.0
93,Iraq,67813.38,67813.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Ireland,1372.25,1370.19,0.0,2.06,0.0,0.0,0.0,0.0,0.0
95,Israel,1557.66,1557.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Italy,14742.08,14718.51,0.0,23.57,0.0,0.0,0.0,0.0,0.0
97,Jamaica,5109.58,833.71,0.0,4275.87,0.0,0.0,0.0,0.0,0.0
98,Japan,131693.77,131630.62,0.0,63.15,0.0,0.0,0.0,0.0,0.0
99,Jordan,3229.21,3229.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Kazakhstan,121287.13,118837.74,0.0,2449.39,0.0,0.0,0.0,0.0,0.0
