,0,1,2,3,4,5,6,7,8,9,10
0, Afghanistan,212592.32,178107.68,34355.41,129.23,0.0,0.0,0.0,0.0,0.0,0.0
1, Albania,342.68,342.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2, Algeria,53648.770000000004,52938.04,0.0,710.73,0.0,0.0,0.0,0.0,0.0,0.0
3, American Samoa,27.54,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4, Andorra,8.74,8.05,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0
5, Angola,542455.2000000001,284743.95,253448.86,3984.25,0.0,0.0,0.0,192.22,1.25,84.67
6, Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7, Antigua and Barbuda,25.98,22.78,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
8, Argentina,32379.149999999998,18065.85,0.0,14313.3,0.0,0.0,0.0,0.0,0.0,0.0
9, Armenia,3683.76,3660.88,0.0,22.88,0.0,0.0,0.0,0.0,0.0,0.0
10, Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11, Australia,1304.17,1195.71,0.0,108.46,0.0,0.0,0.0,0.0,0.0,0.0
12, Austria,1005.97,1005.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13, Azerbaijan,28044.89,27945.34,0.0,99.55,0.0,0.0,0.0,0.0,0.0,0.0
14, Bahamas,148.69,148.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15, Bahrain,583.35,436.04,0.0,147.31,0.0,0.0,0.0,0.0,0.0,0.0
16, Bangladesh,690485.7700000001,585547.42,26730.62,358.42,64514.49,9975.47,3354.43,0.0,0.0,4.92
17, Barbados,66.94,0.1,0.0,66.84,0.0,0.0,0.0,0.0,0.0,0.0
18, Belarus,13161.41,12652.41,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0
19, Belgium,1368.39,1368.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20, Belize,557.0,502.14,0.03,54.83,0.0,0.0,0.0,0.0,0.0,0.0
21, Benin,257860.91999999998,96166.15,154711.8,1470.3,0.0,0.0,0.0,5505.15,0.01,7.51
22, Bermuda,3.4099999999999997,0.01,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
23, Bhutan,5695.42,5410.31,281.16,3.95,0.0,0.0,0.0,0.0,0.0,0.0
24, Bolivia,25202.619999999995,25089.67,1.01,111.94,0.0,0.0,0.0,0.0,0.0,0.0
25," Bonaire, Saint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26, Bosnia and Herzegovina,2913.3,2913.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27, Botswana,72301.99,62645.13,627.35,8744.41,0.0,0.0,0.0,285.1,0.0,0.0
28, Brazil,290996.41,187143.17,38.33,100018.5,0.0,0.0,0.0,3796.41,0.0,0.0
29, British Virgin Islands,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30, Brunei Darussalam,339.08,339.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31, Bulgaria,2661.23,2661.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32, Burkina Faso,736484.4600000001,220793.71,512423.27,2140.06,0.0,0.0,0.0,1080.43,0.0,46.99
33, Burundi,277552.43,189096.77,79621.79,8548.4,0.0,0.0,0.0,274.6,10.87,0.0
34, Cambodia,129285.32,100862.93,11909.1,15413.33,0.0,0.0,0.0,1099.96,0.0,0.0
35, Cameroon,610877.48,117280.26,343461.97,146268.09,0.0,0.0,0.0,3592.98,152.93,121.25
36, Canada,2203.0899999999997,2070.62,0.0,132.47,0.0,0.0,0.0,0.0,0.0,0.0
37, Cape Verde,743.23,688.82,0.0,54.41,0.0,0.0,0.0,0.0,0.0,0.0
38, Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39, Central African Republic,237256.73,142368.36,92308.07,2317.88,0.0,0.0,0.0,122.07,50.16,90.19
40, Chad,440775.94,141411.18,292076.0,3856.83,0.0,0.0,0.0,3389.25,4.48,38.2
41, Chile,11007.07,10531.27,0.0,475.8,0.0,0.0,0.0,0.0,0.0,0.0
42, China,1702434.96,1655111.22,1664.52,45659.22,0.0,0.0,0.0,0.0,0.0,0.0
43," China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44," China, Macao SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
