,0,1,2,3,4,5,6,7,8,9,10,11
0, Afghanistan,219046.85,218930.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.78
1, Albania,371.44,371.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2, Algeria,22091.8,15759.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6332.15
3, American Samoa,19.4,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4, Andorra,8.68,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5, Angola,648633.56,518604.27,129743.46,0.0,0.0,0.0,0.0,282.29,0.06,3.48,0.0
6, Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7, Antigua and Barbuda,15.59,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8, Argentina,24552.75,24552.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9, Armenia,2789.19,2789.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10, Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11, Australia,2113.18,1939.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.83
12, Austria,1254.05,1254.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13, Azerbaijan,34862.67,34862.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14, Bahamas,295.32,295.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15, Bahrain,380.26,380.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16, Bangladesh,519575.62,519236.38,339.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17, Barbados,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18, Belarus,11374.16,11374.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19, Belgium,1816.15,1816.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20, Belize,641.72,641.59,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21, Benin,286734.89999999997,123818.4,157125.54,0.0,0.0,0.0,0.0,2680.22,0.59,6.8,3103.35
22, Bermuda,3.89,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23, Bhutan,2586.08,2583.68,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24, Bolivia,46301.33,46296.92,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25," Bonaire, Saint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26, Bosnia and Herzegovina,3207.77,3207.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27, Botswana,20774.100000000002,20659.36,114.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28, Brazil,228037.50999999998,227901.61,78.3,0.0,0.0,0.0,0.0,6.96,0.0,0.0,50.64
29, British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30, Brunei Darussalam,601.32,601.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31, Bulgaria,3657.19,3657.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32, Burkina Faso,853551.4100000001,355600.21,496590.65,0.0,0.0,0.0,0.0,362.59,0.0,277.05,720.91
33, Burundi,489217.56,354801.43,134122.68,0.0,0.0,0.0,0.0,226.15,29.64,0.0,37.66
34, Cambodia,132511.81000000003,132419.39,92.03,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0
35, Cameroon,696805.97,359145.92,334025.16,0.0,0.0,0.0,0.0,2438.4,314.72,517.52,364.25
36, Canada,3046.34,3046.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37, Cape Verde,2381.82,2381.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38, Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39, Central African Republic,368761.51,306025.35,62633.53,0.0,0.0,0.0,0.0,0.0,53.78,0.0,48.85
40, Chad,457971.52999999997,322060.97,129228.88,0.0,0.0,0.0,0.0,751.61,12.01,25.89,5892.17
41, Chile,12631.23,12631.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42, China,1855506.78,1855506.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43," China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44," China, Macao SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45, Colombia,32708.36,32690.08,18.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46, Comoros,11862.089999999998,11778.13,46.64,0.0,0.0,0.0,0.0,0.0,0.0,37.32,0.0
47, Congo,134248.2,102881.51,30851.06,0.0,0.0,0.0,0.0,507.25,1.12,7.26,0.0
48, Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49, Costa Rica,1849.47,1849.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,  Cote d'Ivoire,612598.99,349070.87,255286.02,0.0,0.0,0.0,0.0,8232.38,0.0,9.72,0.0
51, Croatia,1322.34,1322.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52, Cuba,1242.41,1242.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,  Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54, Cyprus,100.3,100.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55, Czech Republic,1501.75,1501.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56, Democratic People's Republic of Korea,117628.44,117627.71,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
